Num	Star	RA	Dec	Type
165	J013416.35+303712.3	23.56812	30.620079999999998	WN7
166	J013417.17+303250.8	23.57154	30.54744	WC4-5
167	J013417.21+303334.7	23.57171	30.55964	WN3+neb
168	J013418.37+303837.0	23.576539999999998	30.64361	Ofpe/WN9
169	J013418.74+303411.8	23.57808	30.569940000000003	Ofpe/WN9
170	J013419.16+303127.7	23.579829999999998	30.524359999999998	WN3
171	J013419.58+303801.5	23.58158	30.63375	WN7
172	J013419.68+303343.0	23.582	30.561940000000003	WN3-4+ne
173	J013421.21+303758.2	23.58837	30.63283	WN5+neb
174	J013421.97+303314.3	23.59154	30.55397	WN4
175	J013422.37+303313.7	23.59321	30.55381	WN3+abs
176	J013422.54+303317.1	23.59392	30.55475	WN
177	J013423.02+304650.0	23.59592	30.780559999999998	WN4
178	J013425.11+301950.3	23.60462	30.330640000000002	WN3
179	J013426.96+305256.7	23.61233	30.88242	WN4.5
180	J013427.30+305229.2	23.61375	30.874779999999998	WN3+neb
181	J013429.56+304145.0	23.623170000000002	30.695829999999997	WC4
182	J013431.45+305716.7	23.63104	30.95464	WN3+neb
183	J013432.11+304705.8	23.63379	30.784940000000002	WN6
184	J013432.18+304903.7	23.634079999999997	30.817690000000002	WC4
185	J013432.24+304702.7	23.63433	30.78408	Of/WNL
186	J013432.32+304659.7	23.63467	30.78325	WCE
187	J013432.50+304703.5	23.63542	30.784309999999998	WN10
188	J013432.60+304705.9	23.63583	30.78497	WNL
189	J013432.76+304717.2	23.6365	30.788109999999996	Ofpe/WN9
190	J013432.78+304703.5	23.63658	30.784309999999998	WC6
191	J013433.22+310019.3	23.63842	31.005359999999996	WN7+neb
192	J013433.62+304704.6	23.640079999999998	30.784609999999997	WN8+neb
193	J013433.82+304656.3	23.64092	30.78231	WC4
194	J013434.07+304654.3	23.64196	30.78175	WNE
195	J013438.18+304953.2	23.65908	30.83144	WN5
196	J013438.98+304119.8	23.66242	30.68883	WC4
197	J013440.42+304321.9	23.66842	30.72275	WN4+neb
198	J013443.51+304919.4	23.68129	30.822059999999997	WN4
199	J013444.28+303757.2	23.6845	30.632559999999998	WN3
200	J013444.61+304445.4	23.68587	30.74594	WC5-6
201	J013447.32+310748.8	23.69717	31.13022	WN3
202	J013458.89+304129.0	23.74537	30.691390000000002	WC4
203	J013505.37+304114.9	23.772370000000002	30.68747	WC4-5
204	J013507.24+304500.9	23.780170000000002	30.75025	WC5
205	J013509.73+304157.3	23.79054	30.69925	Ofpe/WN9
206	J013510.27+304522.9	23.79279	30.756359999999997	WN2pec
