RAJ2000	DEJ2000
01 31 03.90	+29 50 30.0
01 31 04.14	+30 47 56.0
01 31 04.14	+30 29 46.0
01 31 04.51	+30 19 34.9
01 31 04.69	+30 50 14.2
01 31 04.79	+31 06 23.5
01 31 04.85	+30 30 04.1
01 31 04.95	+31 06 57.8
01 31 05.50	+31 06 57.8
01 31 06.05	+30 22 23.3
01 31 06.08	+30 58 29.3
01 31 06.15	+31 19 07.1
01 31 06.15	+30 04 46.0
01 31 06.40	+30 40 14.2
01 31 06.59	+29 55 47.5
01 31 06.91	+31 09 00.6
01 31 07.20	+30 32 12.4
01 31 07.39	+29 59 03.9
01 31 07.48	+29 55 22.3
01 31 07.65	+29 59 47.4
01 31 07.73	+30 39 52.3
01 31 08.04	+30 07 04.9
01 31 08.27	+30 52 23.5
01 31 08.31	+30 02 33.7
01 31 09.01	+29 56 58.2
01 31 09.04	+30 32 10.1
01 31 09.38	+31 11 15.0
01 31 09.49	+31 21 51.8
01 31 09.68	+30 50 29.7
01 31 09.83	+30 44 14.6
01 31 09.88	+30 24 19.0
01 31 09.97	+31 29 47.2
01 31 10.19	+30 34 44.4
01 31 10.24	+30 18 55.6
01 31 10.42	+30 52 19.5
01 31 10.46	+30 06 08.2
01 31 10.82	+31 31 00.4
01 31 10.88	+30 22 56.6
01 31 11.01	+30 24 07.6
01 31 11.05	+29 51 03.2
01 31 11.07	+31 03 08.0
01 31 11.08	+30 57 38.5
01 31 11.19	+31 29 38.2
01 31 11.33	+30 45 33.1
01 31 11.33	+30 40 45.7
01 31 11.34	+30 43 25.3
01 31 12.34	+30 45 37.0
01 31 12.64	+30 32 30.2
01 31 12.67	+30 05 57.9
01 31 12.98	+30 18 03.5
01 31 13.09	+31 15 20.9
01 31 13.52	+29 54 31.5
01 31 13.73	+30 07 29.3
01 31 14.50	+30 42 40.4
01 31 14.56	+30 32 35.6
01 31 14.58	+30 00 47.2
01 31 14.58	+31 28 24.2
01 31 14.81	+30 11 00.8
01 31 15.39	+30 42 08.8
01 31 15.51	+30 10 07.2
01 31 15.56	+30 19 52.3
01 31 15.58	+31 25 13.6
01 31 15.69	+30 13 18.0
01 31 15.71	+30 31 04.0
01 31 15.75	+30 51 10.2
01 31 15.84	+31 17 51.7
01 31 16.15	+31 04 34.4
01 31 16.28	+30 01 55.4
01 31 16.59	+31 18 00.4
01 31 16.62	+31 29 11.8
01 31 16.63	+31 18 59.6
01 31 16.74	+31 07 32.1
01 31 17.04	+30 06 13.4
01 31 17.22	+30 43 28.0
01 31 17.73	+31 12 33.1
01 31 17.74	+31 19 13.5
01 31 17.89	+30 13 56.1
01 31 18.09	+31 15 42.7
01 31 18.22	+30 09 28.3
01 31 18.28	+29 49 49.1
01 31 18.61	+30 43 13.1
01 31 18.89	+31 26 21.4
01 31 18.90	+29 55 49.5
01 31 19.42	+31 10 30.3
01 31 19.77	+31 05 22.5
01 31 19.86	+30 02 27.9
01 31 19.86	+30 34 01.1
01 31 20.30	+31 30 21.5
01 31 20.32	+31 02 41.0
01 31 20.55	+29 58 19.6
01 31 20.59	+30 58 06.9
01 31 20.62	+30 00 12.7
01 31 20.67	+30 25 35.1
01 31 20.88	+30 56 20.3
01 31 20.90	+30 12 01.1
01 31 20.97	+29 55 54.9
01 31 21.33	+29 48 40.1
01 31 21.57	+31 29 23.7
01 31 21.60	+30 08 17.1
01 31 21.60	+31 02 14.6
01 31 21.65	+31 04 44.5
01 31 21.81	+30 46 57.1
01 31 21.86	+30 19 35.8
01 31 22.09	+31 25 55.8
01 31 22.25	+29 55 07.5
01 31 22.25	+29 54 01.6
01 31 22.65	+30 52 28.7
01 31 22.90	+30 39 58.4
01 31 22.94	+30 46 33.5
01 31 22.96	+31 12 26.4
01 31 23.00	+30 28 16.6
01 31 23.05	+29 52 07.8
01 31 23.25	+31 29 48.6
01 31 23.36	+30 46 09.1
01 31 23.55	+31 25 13.1
01 31 23.56	+31 14 37.7
01 31 23.66	+29 55 00.3
01 31 23.84	+30 09 54.2
01 31 23.89	+30 17 37.2
01 31 23.94	+30 50 37.1
01 31 24.07	+30 57 11.3
01 31 24.08	+30 19 49.5
01 31 24.27	+30 03 24.6
01 31 24.44	+30 37 59.6
01 31 24.45	+30 00 05.0
01 31 24.55	+30 28 39.5
01 31 24.58	+29 53 27.4
01 31 24.64	+30 18 27.4
01 31 24.99	+30 39 15.9
01 31 25.02	+29 59 21.1
01 31 25.09	+31 27 04.0
01 31 25.10	+30 42 19.3
01 31 25.21	+30 03 38.7
01 31 25.23	+31 19 32.5
01 31 25.52	+30 38 40.6
01 31 25.72	+30 37 29.3
01 31 25.73	+29 49 46.4
01 31 25.75	+30 13 03.1
01 31 25.91	+30 03 36.4
01 31 25.96	+29 53 39.5
01 31 26.11	+30 01 59.6
01 31 26.12	+31 02 11.5
