RAJ2000	DEJ2000
01 33 09.45	+30 18 13.4
01 33 09.48	+30 33 05.1
01 33 09.49	+31 01 39.1
01 33 09.52	+30 10 40.5
01 33 09.55	+30 33 13.0
01 33 09.59	+30 29 43.7
01 33 09.60	+30 32 05.8
01 33 09.74	+30 55 44.6
01 33 09.79	+30 33 19.9
01 33 09.81	+30 23 53.6
01 33 09.90	+30 15 32.9
01 33 09.93	+30 27 27.4
01 33 09.96	+30 44 22.8
01 33 09.97	+30 47 18.1
01 33 10.01	+30 34 38.9
01 33 10.05	+30 27 35.1
01 33 10.05	+30 38 39.7
01 33 10.06	+30 33 30.5
01 33 10.10	+31 26 08.4
01 33 10.12	+30 54 12.9
01 33 10.12	+30 27 26.1
01 33 10.17	+30 33 14.2
01 33 10.20	+30 42 17.4
01 33 10.22	+30 32 11.3
01 33 10.24	+30 33 49.8
01 33 10.29	+30 33 11.7
01 33 10.36	+30 29 46.9
01 33 10.39	+31 25 18.6
01 33 10.41	+30 23 50.9
01 33 10.47	+30 23 39.1
01 33 10.48	+30 32 01.3
01 33 10.56	+30 23 01.6
01 33 10.62	+31 23 05.9
01 33 10.67	+30 27 14.7
01 33 10.80	+30 39 32.5
01 33 10.81	+30 23 30.6
01 33 10.82	+30 46 30.0
01 33 10.85	+30 51 00.9
01 33 10.96	+30 23 31.6
01 33 10.97	+30 05 53.1
01 33 11.00	+30 27 42.9
01 33 11.02	+30 01 27.8
01 33 11.03	+30 52 37.1
01 33 11.06	+30 27 36.5
01 33 11.12	+30 54 32.1
01 33 11.22	+30 12 22.8
01 33 11.32	+30 52 05.4
01 33 11.34	+30 39 32.0
01 33 11.35	+30 23 39.5
01 33 11.55	+30 23 34.1
01 33 11.79	+30 55 33.5
01 33 11.83	+30 45 03.0
01 33 11.95	+30 47 57.9
01 33 12.02	+30 32 00.5
01 33 12.05	+30 46 00.1
01 33 12.08	+30 29 48.0
01 33 12.13	+30 27 09.7
01 33 12.16	+30 48 49.3
01 33 12.28	+30 48 36.2
01 33 12.30	+30 32 16.1
01 33 12.31	+30 30 33.8
01 33 12.31	+30 47 49.2
01 33 12.32	+30 38 52.3
01 33 12.34	+30 24 53.0
01 33 12.39	+30 27 11.7
01 33 12.40	+30 37 11.2
01 33 12.56	+30 32 52.3
01 33 12.57	+30 21 49.2
01 33 12.60	+30 28 30.0
01 33 12.67	+30 49 31.4
01 33 12.71	+30 39 46.0
01 33 12.73	+30 13 22.0
01 33 12.73	+30 38 36.4
01 33 12.75	+30 31 41.6
01 33 12.77	+30 37 08.5
01 33 12.85	+30 13 47.6
01 33 12.93	+30 29 09.9
01 33 12.95	+30 38 03.1
01 33 12.97	+30 41 50.5
01 33 12.97	+30 39 05.4
01 33 13.02	+31 31 14.0
01 33 13.03	+30 48 24.1
01 33 13.04	+30 28 59.1
01 33 13.05	+30 39 01.7
01 33 13.14	+30 52 05.6
01 33 13.25	+30 46 39.0
01 33 13.26	+30 36 53.1
01 33 13.28	+30 54 46.4
01 33 13.29	+30 23 10.3
01 33 13.39	+30 30 51.0
01 33 13.41	+30 57 09.5
01 33 13.41	+30 52 49.1
01 33 13.50	+30 44 20.1
01 33 13.61	+30 25 04.2
01 33 13.63	+30 16 13.5
01 33 13.63	+30 46 53.1
01 33 13.67	+30 48 37.9
01 33 13.67	+31 10 26.8
01 33 13.70	+30 40 12.5
01 33 13.77	+30 30 17.8
01 33 13.78	+30 41 22.6
01 33 13.80	+30 26 31.8
01 33 13.86	+30 46 27.4
01 33 13.90	+30 39 00.7
01 33 13.94	+30 39 02.8
01 33 13.95	+30 23 56.8
01 33 13.95	+29 58 12.8
01 33 13.97	+30 19 56.4
01 33 13.98	+30 36 27.1
01 33 14.00	+30 27 15.6
01 33 14.01	+30 36 46.6
01 33 14.01	+30 03 46.1
01 33 14.03	+30 29 57.2
01 33 14.03	+30 31 57.9
01 33 14.08	+30 33 54.5
01 33 14.12	+30 39 29.1
01 33 14.14	+30 46 28.2
01 33 14.18	+30 57 20.9
01 33 14.18	+30 30 13.8
01 33 14.18	+30 26 57.2
01 33 14.20	+31 28 47.0
01 33 14.27	+30 29 52.7
01 33 14.32	+31 11 43.2
01 33 14.33	+30 39 36.5
01 33 14.35	+30 37 18.7
01 33 14.36	+30 26 25.6
01 33 14.40	+30 26 14.9
01 33 14.45	+30 30 45.0
01 33 14.50	+30 31 49.9
01 33 14.53	+30 23 21.0
01 33 14.53	+30 13 25.2
01 33 14.53	+30 37 32.6
01 33 14.55	+30 38 32.8
01 33 14.58	+30 46 11.3
01 33 14.64	+31 25 18.0
01 33 14.71	+30 23 40.9
01 33 14.84	+30 26 28.8
01 33 14.87	+30 52 17.3
01 33 14.94	+30 39 06.5
01 33 14.99	+30 36 56.3
01 33 15.00	+31 24 38.0
01 33 15.03	+30 44 35.9
01 33 15.05	+30 13 24.4
01 33 15.10	+30 56 40.9
01 33 15.13	+30 58 13.9
01 33 15.16	+30 53 19.7
01 33 15.19	+30 53 28.9
01 33 15.19	+30 27 54.7
01 33 15.19	+30 37 26.9
01 33 15.23	+30 30 11.0
01 33 15.24	+30 26 57.5
01 33 15.26	+30 46 11.4
01 33 15.27	+30 22 48.2
01 33 15.27	+30 53 31.4
01 33 15.29	+30 43 35.5
01 33 15.35	+30 39 42.1
01 33 15.35	+31 30 45.9
01 33 15.37	+30 37 22.5
01 33 15.38	+30 26 37.8
01 33 15.39	+31 20 49.8
01 33 15.41	+30 24 11.2
01 33 15.46	+30 32 13.8
01 33 15.55	+30 20 49.5
01 33 15.58	+31 01 24.5
01 33 15.60	+30 46 41.8
01 33 15.76	+30 53 10.9
01 33 15.81	+30 35 44.8
01 33 15.81	+30 31 25.9
01 33 15.86	+30 16 10.4
01 33 15.93	+30 31 53.5
01 33 15.97	+30 23 14.2
01 33 16.01	+30 33 27.7
01 33 16.03	+30 52 18.5
01 33 16.03	+30 20 41.1
01 33 16.03	+30 49 17.0
01 33 16.06	+30 43 59.0
01 33 16.08	+30 29 55.7
01 33 16.10	+30 53 22.1
01 33 16.10	+30 57 47.6
01 33 16.11	+30 26 46.9
01 33 16.12	+30 50 42.8
01 33 16.13	+29 51 10.6
01 33 16.14	+30 53 12.5
01 33 16.16	+31 31 44.3
01 33 16.31	+30 40 47.2
01 33 16.34	+30 11 49.6
01 33 16.37	+30 36 30.7
01 33 16.43	+30 31 18.8
01 33 16.46	+30 46 34.4
01 33 16.49	+31 26 36.2
01 33 16.53	+30 30 51.7
01 33 16.53	+30 26 54.1
01 33 16.54	+30 52 49.7
01 33 16.57	+30 38 57.7
01 33 16.57	+30 32 21.0
01 33 16.58	+30 27 09.2
01 33 16.59	+30 44 36.3
01 33 16.60	+30 36 32.5
01 33 16.65	+30 52 06.5
01 33 16.65	+30 28 03.4
01 33 16.77	+30 19 40.5
01 33 16.78	+30 53 16.7
01 33 16.80	+30 36 24.7
01 33 16.82	+30 32 07.8
01 33 16.90	+30 51 01.6
01 33 16.91	+30 40 45.4
01 33 16.95	+30 26 43.2
01 33 16.96	+30 23 07.7
01 33 16.98	+30 31 15.9
01 33 17.02	+30 42 51.5
01 33 17.03	+30 39 23.5
01 33 17.06	+30 39 54.7
01 33 17.19	+30 32 01.5
01 33 17.22	+30 33 13.6
01 33 17.32	+30 29 47.7
01 33 17.36	+30 32 10.5
01 33 17.43	+30 35 21.6
01 33 17.43	+30 30 01.7
01 33 17.43	+30 36 24.3
01 33 17.43	+30 25 38.8
01 33 17.45	+30 32 25.5
01 33 17.46	+30 31 48.8
01 33 17.46	+30 34 17.2
01 33 17.47	+30 35 31.3
01 33 17.49	+30 32 47.3
01 33 17.60	+30 32 15.8
01 33 17.64	+30 34 58.7
01 33 17.69	+30 41 29.4
01 33 17.71	+30 37 57.2
01 33 17.71	+30 17 57.0
01 33 17.78	+30 20 36.4
01 33 17.79	+31 31 28.5
01 33 17.95	+29 48 16.3
01 33 17.97	+30 26 45.9
01 33 18.00	+30 26 58.4
01 33 18.07	+30 29 46.5
01 33 18.09	+30 30 58.9
01 33 18.18	+30 23 19.3
01 33 18.19	+30 28 56.4
01 33 18.22	+30 37 11.2
01 33 18.23	+30 56 43.8
01 33 18.24	+30 12 11.9
01 33 18.25	+30 32 09.2
01 33 18.26	+30 42 16.2
01 33 18.28	+30 27 46.6
01 33 18.30	+30 36 09.8
01 33 18.35	+30 39 08.7
01 33 18.38	+30 39 43.5
01 33 18.40	+30 26 06.3
01 33 18.46	+30 39 04.9
01 33 18.49	+30 37 40.6
01 33 18.50	+30 45 56.8
01 33 18.64	+30 36 56.0
01 33 18.67	+30 39 15.9
01 33 18.68	+30 38 43.4
01 33 18.70	+30 37 15.8
01 33 18.70	+30 31 50.2
01 33 18.71	+29 47 56.7
01 33 18.72	+30 54 15.5
01 33 18.81	+30 27 02.2
01 33 18.82	+30 56 26.2
01 33 18.85	+30 28 37.3
01 33 18.85	+30 35 28.5
01 33 18.90	+30 53 21.5
01 33 18.91	+30 42 10.4
01 33 18.93	+30 38 41.1
01 33 18.94	+30 24 45.3
01 33 19.03	+30 49 35.6
01 33 19.05	+30 35 40.4
01 33 19.06	+30 32 16.6
01 33 19.06	+30 41 51.9
01 33 19.10	+30 49 46.5
01 33 19.10	+30 36 42.4
01 33 19.12	+30 34 42.0
01 33 19.14	+30 55 50.1
01 33 19.18	+30 34 21.3
01 33 19.20	+30 28 27.4
01 33 19.29	+30 32 46.4
01 33 19.31	+30 28 53.8
01 33 19.31	+30 35 34.3
01 33 19.32	+30 35 31.9
01 33 19.33	+30 35 44.2
01 33 19.33	+30 37 24.5
01 33 19.38	+30 08 09.8
01 33 19.38	+30 24 03.1
01 33 19.43	+31 29 17.3
01 33 19.43	+30 32 14.8
01 33 19.43	+30 55 33.9
01 33 19.45	+30 53 03.3
01 33 19.46	+30 31 33.0
01 33 19.47	+30 42 21.0
01 33 19.54	+30 10 03.1
01 33 19.59	+30 38 42.4
01 33 19.60	+30 30 49.8
01 33 19.61	+30 46 34.8
01 33 19.63	+30 40 12.1
01 33 19.64	+30 27 09.0
01 33 19.67	+30 16 56.9
01 33 19.68	+30 24 28.7
01 33 19.70	+31 31 40.9
01 33 19.71	+30 40 31.1
01 33 19.72	+30 48 46.2
01 33 19.73	+30 34 10.5
01 33 19.74	+30 44 11.5
01 33 19.76	+30 53 32.1
01 33 19.80	+30 42 32.0
01 33 19.82	+30 44 10.8
01 33 19.87	+30 21 24.9
01 33 19.95	+30 12 47.4
01 33 19.97	+31 10 58.0
01 33 19.98	+30 12 27.9
01 33 20.01	+30 32 28.3
01 33 20.01	+30 39 50.0
01 33 20.13	+30 31 39.4
01 33 20.13	+30 46 54.9
01 33 20.13	+30 19 15.1
01 33 20.17	+30 39 51.4
01 33 20.25	+30 50 28.2
01 33 20.31	+30 23 13.2
01 33 20.37	+30 37 38.2
01 33 20.38	+30 27 14.4
01 33 20.39	+30 36 36.2
01 33 20.45	+30 36 09.3
01 33 20.46	+30 35 22.2
01 33 20.48	+30 47 03.4
01 33 20.52	+30 41 48.6
01 33 20.52	+30 19 36.8
01 33 20.53	+30 48 58.5
01 33 20.53	+30 22 52.1
01 33 20.54	+30 14 53.8
01 33 20.54	+31 00 02.8
01 33 20.55	+30 16 43.2
01 33 20.60	+30 31 59.2
01 33 20.61	+30 34 42.1
01 33 20.67	+30 41 52.8
01 33 20.68	+30 50 15.8
01 33 20.70	+30 40 32.4
01 33 20.72	+30 32 04.6
01 33 20.74	+30 49 48.2
01 33 20.79	+30 40 54.6
01 33 20.81	+30 29 07.2
01 33 20.85	+30 45 32.2
01 33 20.90	+30 27 09.0
01 33 20.91	+30 31 42.3
01 33 20.92	+30 35 24.9
01 33 20.93	+30 37 04.2
01 33 20.95	+30 50 04.3
01 33 21.07	+30 42 42.5
01 33 21.08	+30 28 52.6
01 33 21.12	+30 37 07.6
01 33 21.12	+29 58 56.6
01 33 21.12	+30 44 57.6
01 33 21.18	+30 35 41.3
01 33 21.18	+30 37 29.0
01 33 21.25	+30 53 38.0
01 33 21.28	+30 39 39.0
01 33 21.31	+30 24 34.0
01 33 21.40	+30 37 35.1
01 33 21.40	+30 40 45.3
01 33 21.45	+30 53 47.2
01 33 21.50	+30 53 27.4
01 33 21.58	+30 31 53.9
01 33 21.69	+30 26 40.7
01 33 21.72	+30 39 37.8
01 33 21.75	+30 29 29.1
01 33 21.76	+30 35 46.8
01 33 21.80	+30 35 43.2
01 33 21.82	+30 28 51.6
01 33 21.90	+30 41 11.9
01 33 21.98	+30 47 08.5
01 33 22.06	+30 40 39.5
01 33 22.06	+30 18 03.0
01 33 22.07	+30 14 23.7
01 33 22.07	+30 40 28.2
01 33 22.10	+30 50 39.3
01 33 22.15	+30 32 51.8
01 33 22.16	+30 02 21.3
01 33 22.18	+30 28 54.1
01 33 22.28	+30 27 08.8
01 33 22.29	+30 41 08.3
01 33 22.31	+30 29 03.6
01 33 22.40	+30 54 35.0
01 33 22.40	+30 36 08.1
01 33 22.42	+30 35 10.8
01 33 22.45	+30 41 33.6
01 33 22.49	+31 24 16.8
01 33 22.55	+30 10 58.2
01 33 22.67	+30 18 27.1
01 33 22.72	+30 43 40.9
01 33 22.75	+30 47 37.5
01 33 22.76	+30 39 03.4
01 33 22.76	+30 52 01.8
01 33 22.76	+30 40 02.2
01 33 22.78	+30 49 11.9
01 33 22.79	+30 19 10.8
01 33 22.82	+30 39 18.2
01 33 22.83	+30 37 56.5
01 33 22.85	+30 36 14.7
01 33 22.93	+30 30 16.9
01 33 23.00	+30 35 24.3
01 33 23.02	+30 44 01.0
01 33 23.09	+30 43 13.8
01 33 23.09	+30 31 01.4
01 33 23.10	+30 53 22.5
01 33 23.15	+30 40 16.1
01 33 23.20	+30 31 18.2
01 33 23.20	+30 46 12.1
01 33 23.25	+31 18 58.8
01 33 23.28	+30 27 31.4
01 33 23.28	+30 50 09.6
01 33 23.29	+30 33 40.7
01 33 23.36	+31 22 05.7
01 33 23.39	+30 28 54.0
01 33 23.40	+30 49 28.5
01 33 23.41	+30 35 08.4
01 33 23.44	+30 31 08.2
01 33 23.48	+30 35 35.4
01 33 23.60	+30 19 03.6
01 33 23.60	+30 22 43.5
01 33 23.61	+30 28 36.5
01 33 23.67	+30 25 05.0
01 33 23.68	+30 33 28.8
01 33 23.73	+30 49 25.1
01 33 23.73	+30 24 29.6
01 33 23.75	+30 58 42.9
01 33 23.77	+30 35 13.4
01 33 23.78	+30 31 08.2
01 33 23.82	+30 29 35.4
01 33 23.86	+30 57 31.3
01 33 23.86	+31 28 54.7
01 33 23.87	+30 33 03.9
01 33 23.89	+30 48 34.4
01 33 23.90	+30 27 55.6
01 33 23.92	+30 33 27.9
01 33 24.00	+30 33 24.6
01 33 24.13	+30 37 07.6
01 33 24.16	+30 43 08.3
01 33 24.16	+30 35 01.0
01 33 24.17	+30 42 07.9
01 33 24.20	+30 50 41.7
01 33 24.23	+30 28 51.8
01 33 24.33	+30 37 39.7
01 33 24.39	+30 31 37.4
01 33 24.41	+30 35 47.6
01 33 24.41	+30 49 10.5
01 33 24.42	+30 19 10.4
01 33 24.47	+31 12 55.1
01 33 24.48	+30 38 58.3
01 33 24.50	+30 38 54.1
01 33 24.52	+30 49 08.3
01 33 24.52	+30 37 48.4
01 33 24.52	+30 24 19.0
01 33 24.52	+30 26 59.1
01 33 24.57	+30 32 56.3
01 33 24.59	+30 41 16.9
01 33 24.65	+30 44 21.5
01 33 24.66	+30 33 51.1
01 33 24.67	+31 10 24.9
01 33 24.68	+31 03 41.4
01 33 24.68	+30 34 23.6
01 33 24.69	+30 31 39.1
01 33 24.69	+30 41 29.9
01 33 24.71	+30 00 18.3
01 33 24.72	+30 57 03.9
01 33 24.77	+30 47 37.0
01 33 24.77	+30 49 27.9
01 33 24.79	+30 55 08.8
01 33 24.84	+31 00 32.4
01 33 24.87	+30 46 59.9
01 33 24.87	+30 17 54.2
01 33 24.93	+31 05 47.9
01 33 24.94	+30 34 23.0
01 33 24.99	+30 07 22.5
01 33 25.00	+30 24 07.0
01 33 25.07	+30 43 07.1
01 33 25.09	+30 25 02.3
01 33 25.14	+30 59 31.1
01 33 25.24	+30 37 58.0
01 33 25.24	+30 49 06.8
01 33 25.27	+30 28 50.4
01 33 25.30	+30 25 55.4
01 33 25.31	+30 40 22.0
01 33 25.32	+30 25 52.1
01 33 25.37	+30 34 17.7
01 33 25.37	+30 48 57.9
01 33 25.37	+30 47 47.5
01 33 25.39	+30 41 46.5
01 33 25.43	+30 30 26.9
01 33 25.45	+30 46 22.7
01 33 25.45	+30 35 18.9
01 33 25.52	+30 34 25.5
01 33 25.54	+30 30 59.6
01 33 25.54	+30 36 52.3
01 33 25.57	+30 28 33.7
01 33 25.67	+30 33 30.4
01 33 25.70	+30 59 50.0
01 33 25.81	+30 19 03.9
01 33 25.83	+30 35 23.3
01 33 25.85	+30 36 21.9
01 33 25.85	+31 12 57.5
01 33 25.87	+30 14 15.8
01 33 25.87	+30 36 35.0
01 33 25.92	+30 36 27.6
01 33 25.93	+30 45 06.7
01 33 25.94	+30 45 35.2
01 33 26.07	+30 44 14.8
01 33 26.08	+30 40 37.5
01 33 26.18	+30 32 38.8
01 33 26.21	+30 41 58.0
01 33 26.21	+30 24 01.5
01 33 26.27	+30 36 43.9
01 33 26.29	+30 38 24.6
01 33 26.34	+30 24 23.7
01 33 26.39	+30 42 42.4
01 33 26.40	+30 41 47.3
01 33 26.40	+30 28 43.8
01 33 26.42	+30 49 50.2
01 33 26.47	+30 39 59.2
01 33 26.47	+31 06 29.2
01 33 26.48	+30 34 39.8
01 33 26.49	+31 19 21.3
01 33 26.55	+31 00 35.0
01 33 26.56	+30 36 43.4
01 33 26.57	+30 42 59.1
01 33 26.59	+30 36 29.4
01 33 26.59	+30 16 09.1
01 33 26.60	+30 57 28.3
01 33 26.63	+30 39 09.4
01 33 26.66	+30 39 54.1
01 33 26.71	+30 47 16.1
01 33 26.71	+30 37 18.4
01 33 26.71	+30 37 50.9
01 33 26.71	+30 24 07.4
01 33 26.76	+30 46 59.0
01 33 26.81	+30 35 18.7
01 33 26.82	+30 33 49.6
01 33 26.83	+30 41 07.8
01 33 26.85	+30 35 40.4
01 33 26.86	+31 01 33.3
01 33 26.86	+30 55 53.5
01 33 26.87	+31 00 54.2
01 33 26.89	+30 28 41.2
01 33 26.90	+30 46 30.6
01 33 26.98	+30 30 57.9
01 33 27.01	+30 19 58.8
01 33 27.06	+29 51 55.8
01 33 27.10	+30 39 17.3
01 33 27.10	+30 42 43.1
01 33 27.18	+30 57 45.6
01 33 27.24	+30 42 31.5
01 33 27.24	+30 26 59.4
01 33 27.29	+30 23 56.5
01 33 27.29	+30 30 32.3
01 33 27.30	+30 40 57.5
01 33 27.32	+30 35 57.5
01 33 27.33	+30 48 35.2
01 33 27.35	+30 41 26.4
01 33 27.40	+30 37 56.1
01 33 27.44	+30 30 33.9
01 33 27.49	+30 33 23.3
01 33 27.54	+30 32 27.6
01 33 27.54	+30 42 53.8
01 33 27.56	+30 35 33.8
01 33 27.57	+30 29 08.2
01 33 27.58	+30 19 22.0
01 33 27.60	+30 36 20.0
01 33 27.62	+30 40 44.1
01 33 27.63	+30 38 15.8
01 33 27.63	+31 10 56.6
01 33 27.64	+31 07 48.0
01 33 27.64	+30 18 02.1
01 33 27.66	+30 43 37.0
01 33 27.67	+30 36 53.7
01 33 27.71	+30 01 30.0
01 33 27.77	+30 32 04.6
01 33 27.83	+30 18 22.8
01 33 27.97	+30 10 52.7
01 33 28.02	+30 30 37.1
01 33 28.05	+31 11 49.9
01 33 28.09	+29 55 33.5
01 33 28.09	+30 36 50.6
01 33 28.11	+30 32 55.4
01 33 28.11	+30 34 46.9
01 33 28.14	+30 47 41.4
01 33 28.18	+30 36 28.2
01 33 28.18	+31 29 32.3
01 33 28.21	+30 41 30.5
01 33 28.21	+30 18 17.2
01 33 28.23	+30 38 03.8
01 33 28.28	+30 29 05.6
01 33 28.34	+30 33 16.0
01 33 28.36	+30 30 05.2
01 33 28.36	+30 31 27.2
01 33 28.44	+30 46 33.3
01 33 28.46	+30 14 46.0
01 33 28.47	+30 38 16.6
01 33 28.47	+31 22 12.3
01 33 28.49	+30 41 41.3
01 33 28.57	+30 34 29.6
01 33 28.60	+30 28 17.0
01 33 28.62	+30 18 06.6
01 33 28.65	+30 30 23.4
01 33 28.67	+30 39 20.5
01 33 28.67	+30 28 19.3
01 33 28.68	+30 36 29.7
01 33 28.70	+30 36 39.4
01 33 28.73	+30 40 46.6
01 33 28.73	+30 45 57.0
01 33 28.73	+31 02 52.5
01 33 28.74	+30 30 02.3
01 33 28.77	+30 36 15.4
01 33 28.78	+30 28 46.2
01 33 28.80	+30 38 05.6
01 33 28.81	+31 06 13.2
01 33 28.82	+31 00 41.6
01 33 28.85	+30 30 57.9
01 33 28.86	+30 01 02.8
01 33 28.88	+30 36 34.3
01 33 28.98	+30 35 44.5
01 33 28.99	+30 37 50.6
01 33 29.02	+30 32 26.9
01 33 29.02	+30 43 10.1
01 33 29.10	+30 43 46.1
01 33 29.10	+30 41 29.9
01 33 29.15	+30 41 37.0
01 33 29.25	+30 41 00.1
01 33 29.27	+30 41 04.7
01 33 29.30	+30 44 12.9
01 33 29.33	+30 31 24.7
01 33 29.35	+30 40 45.4
01 33 29.35	+30 15 54.1
01 33 29.41	+30 41 08.8
01 33 29.43	+30 37 52.6
01 33 29.44	+30 18 48.2
01 33 29.45	+30 29 25.7
01 33 29.46	+30 44 33.9
01 33 29.52	+30 27 25.7
01 33 29.54	+30 44 13.5
01 33 29.57	+30 41 11.8
01 33 29.68	+30 28 22.2
01 33 29.70	+30 29 25.3
01 33 29.70	+30 57 28.6
01 33 29.71	+30 46 56.5
01 33 29.75	+31 09 49.3
01 33 29.76	+30 31 25.4
01 33 29.79	+30 44 15.6
01 33 29.79	+30 39 04.1
01 33 29.80	+30 28 01.0
01 33 29.83	+30 52 36.4
01 33 29.86	+30 36 41.2
01 33 29.86	+30 40 09.2
01 33 29.94	+30 13 53.7
01 33 29.95	+30 39 05.5
01 33 29.98	+30 45 33.0
01 33 29.99	+30 38 39.0
01 33 30.00	+30 20 03.2
01 33 30.01	+30 29 54.2
01 33 30.01	+30 31 45.6
01 33 30.10	+30 25 55.8
01 33 30.15	+30 36 36.3
01 33 30.24	+30 46 15.9
01 33 30.24	+30 35 10.4
01 33 30.24	+30 36 03.1
01 33 30.30	+30 00 01.5
01 33 30.39	+30 35 59.8
01 33 30.39	+30 45 09.9
01 33 30.43	+30 14 16.7
01 33 30.44	+30 36 16.4
01 33 30.44	+30 40 15.3
01 33 30.47	+30 40 11.1
01 33 30.53	+30 33 43.6
01 33 30.54	+30 38 53.6
01 33 30.56	+30 14 19.5
01 33 30.56	+30 09 42.5
01 33 30.63	+31 10 59.6
01 33 30.64	+30 36 33.9
01 33 30.71	+30 57 57.1
01 33 30.72	+30 35 47.3
01 33 30.72	+30 32 29.6
01 33 30.74	+30 30 01.1
01 33 30.81	+30 40 08.7
01 33 30.89	+30 35 07.4
01 33 30.89	+30 37 16.0
01 33 30.93	+30 34 43.3
01 33 30.93	+30 41 42.5
01 33 30.96	+30 36 52.3
01 33 30.96	+30 42 57.0
01 33 30.98	+30 30 56.7
01 33 31.00	+30 17 21.8
01 33 31.01	+30 16 56.7
01 33 31.02	+30 36 10.9
01 33 31.03	+30 35 02.9
01 33 31.04	+30 41 10.8
01 33 31.07	+30 53 50.9
01 33 31.08	+30 30 21.9
01 33 31.12	+30 41 07.2
01 33 31.14	+30 27 00.6
01 33 31.15	+30 51 10.7
01 33 31.22	+29 49 50.7
01 33 31.31	+30 56 02.1
01 33 31.32	+31 02 08.7
01 33 31.32	+30 32 16.9
01 33 31.33	+30 33 27.0
01 33 31.35	+30 35 38.9
01 33 31.35	+30 33 23.5
01 33 31.40	+30 33 51.7
01 33 31.42	+30 54 46.3
01 33 31.43	+30 52 29.2
01 33 31.45	+30 37 24.6
01 33 31.47	+30 28 20.3
01 33 31.48	+30 40 35.1
01 33 31.50	+30 48 18.6
01 33 31.52	+30 32 57.4
01 33 31.53	+31 00 34.2
01 33 31.54	+30 35 40.0
01 33 31.55	+30 33 21.2
01 33 31.57	+30 27 13.9
01 33 31.71	+30 43 09.0
01 33 31.75	+30 19 08.2
01 33 31.75	+30 57 37.8
01 33 31.76	+30 35 29.8
01 33 31.77	+30 22 32.5
01 33 31.85	+31 29 21.3
01 33 31.88	+30 33 22.7
01 33 31.91	+30 19 52.9
01 33 31.93	+30 33 55.4
01 33 31.93	+30 45 48.4
01 33 31.93	+30 36 47.6
01 33 31.94	+30 41 59.2
01 33 31.95	+30 36 56.8
01 33 31.95	+30 33 38.5
01 33 31.95	+30 29 29.6
01 33 31.96	+30 33 27.8
01 33 31.97	+30 16 23.7
01 33 31.97	+30 37 20.0
01 33 31.99	+30 44 31.3
01 33 32.01	+30 52 06.3
01 33 32.01	+30 33 57.2
01 33 32.03	+30 13 10.3
01 33 32.04	+30 35 58.1
01 33 32.06	+30 20 57.4
01 33 32.07	+30 34 10.2
01 33 32.07	+30 37 21.4
01 33 32.10	+30 20 33.1
01 33 32.12	+30 21 03.7
01 33 32.15	+30 20 58.6
01 33 32.16	+30 31 06.2
01 33 32.17	+30 32 40.6
01 33 32.18	+30 28 49.9
01 33 32.21	+30 14 29.5
01 33 32.24	+29 55 44.2
01 33 32.27	+30 33 02.1
01 33 32.28	+30 27 01.0
01 33 32.29	+30 19 39.6
01 33 32.31	+30 36 40.3
01 33 32.35	+30 35 22.5
01 33 32.36	+30 21 37.1
01 33 32.36	+30 35 46.3
01 33 32.37	+30 55 38.2
01 33 32.37	+30 30 15.8
01 33 32.40	+30 36 19.6
01 33 32.44	+30 26 57.4
01 33 32.44	+30 13 10.3
01 33 32.45	+30 36 56.8
01 33 32.54	+30 58 27.0
01 33 32.55	+30 38 27.7
01 33 32.57	+30 34 00.0
01 33 32.58	+30 49 06.5
01 33 32.59	+30 36 30.5
01 33 32.60	+30 33 06.0
01 33 32.64	+30 35 41.9
01 33 32.65	+30 27 34.7
01 33 32.67	+31 18 11.1
01 33 32.68	+30 33 26.6
01 33 32.69	+30 33 18.9
01 33 32.69	+30 35 36.0
01 33 32.70	+30 36 39.9
01 33 32.71	+30 51 16.5
01 33 32.72	+30 33 56.7
01 33 32.77	+30 25 41.0
01 33 32.77	+30 33 43.8
01 33 32.81	+30 41 53.0
01 33 32.86	+30 40 33.9
01 33 33.00	+30 28 01.5
01 33 33.01	+30 41 46.9
01 33 33.01	+30 56 04.4
01 33 33.04	+30 42 12.0
01 33 33.05	+30 35 53.4
01 33 33.06	+30 36 02.2
01 33 33.07	+30 30 32.2
01 33 33.10	+30 39 41.1
01 33 33.13	+30 36 26.6
01 33 33.14	+30 36 08.2
01 33 33.15	+30 34 22.3
01 33 33.17	+30 36 54.4
01 33 33.19	+30 35 38.1
01 33 33.22	+30 33 58.5
01 33 33.24	+30 43 54.4
01 33 33.25	+30 23 55.1
01 33 33.26	+30 37 47.5
01 33 33.26	+31 00 58.8
01 33 33.27	+30 34 48.3
01 33 33.28	+30 31 47.0
01 33 33.28	+30 43 03.0
01 33 33.29	+30 49 14.1
01 33 33.30	+30 29 45.0
01 33 33.30	+30 29 28.5
01 33 33.31	+30 36 18.6
01 33 33.33	+30 41 46.0
01 33 33.35	+30 33 51.1
01 33 33.35	+30 20 11.4
01 33 33.44	+30 37 59.9
01 33 33.45	+30 31 49.5
01 33 33.47	+30 33 16.4
01 33 33.47	+30 50 22.9
01 33 33.49	+30 35 12.4
01 33 33.50	+30 50 16.8
01 33 33.54	+30 31 06.0
01 33 33.56	+30 38 04.5
01 33 33.57	+30 49 02.2
01 33 33.57	+30 55 03.0
01 33 33.61	+30 39 53.1
